number,app,user_feedback,relevant_review,issue_text,fitting_issue,user_feedback_id,issue_id,distance,searched_manually,found_relevant_issue_manually
1,org.mozilla.firefox,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",TRUE,Freeze and make phone reboot after few seconds of use,TRUE,gp:AOqpTOGHKZCypx-0vhDCwPuOX-1oq8-bGeoDW1yE-9VJkHa2N_YBUTNdV62fuo03TueytooKCA76EZ6Jexsd_Q,957715,0.7828081846,FALSE,FALSE
2,org.mozilla.firefox,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",TRUE,When the Android refresh button pressed page reloads but the favicon did not turn blue.,FALSE,gp:AOqpTOGHKZCypx-0vhDCwPuOX-1oq8-bGeoDW1yE-9VJkHa2N_YBUTNdV62fuo03TueytooKCA76EZ6Jexsd_Q,1284170,0.7794346213,FALSE,FALSE
3,org.mozilla.firefox,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",TRUE,Intermittent android [taskcluster:error] Task timeout after 7200 seconds. Force killing container.,FALSE,gp:AOqpTOGHKZCypx-0vhDCwPuOX-1oq8-bGeoDW1yE-9VJkHa2N_YBUTNdV62fuo03TueytooKCA76EZ6Jexsd_Q,1493001,0.7792912722,FALSE,FALSE
4,org.mozilla.firefox,"I enjoy using it when it is working, it freezes and crashes quite often",TRUE,When Fennec is first started it is unresponsive with TalkBack,FALSE,gp:AOqpTOGh06CVE98DHGLUCZyVl1IJeiHHgLBqibzoAXj_cO-gDPt12ZcQ4-bmo7gPpFbgW0emi9ssCj43kNQIrw,924485,0.8145542741,FALSE,FALSE
5,org.mozilla.firefox,"I enjoy using it when it is working, it freezes and crashes quite often",TRUE,FF crashs and freezes when opening flixbus.de,TRUE,gp:AOqpTOGh06CVE98DHGLUCZyVl1IJeiHHgLBqibzoAXj_cO-gDPt12ZcQ4-bmo7gPpFbgW0emi9ssCj43kNQIrw,1310731,0.8075256944,FALSE,FALSE
6,org.mozilla.firefox,"I enjoy using it when it is working, it freezes and crashes quite often",TRUE,I am currently using firefox 24 it always crashes,TRUE,gp:AOqpTOGh06CVE98DHGLUCZyVl1IJeiHHgLBqibzoAXj_cO-gDPt12ZcQ4-bmo7gPpFbgW0emi9ssCj43kNQIrw,927492,0.8031539321,FALSE,FALSE
7,org.mozilla.firefox,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",TRUE,"When users visited the webpage scrolling down , webpage doesn't reload.",TRUE,gp:AOqpTOFypb9brqf-n36vM5hOnKeqYmquQj-l9pZqgo_xAbMiEOo2XuB42U0Dax4f-JH8J1KfY8PJFZ5leEdmKA,1332533,0.917283237,FALSE,FALSE
8,org.mozilla.firefox,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",TRUE,To optimize web icon after adding this page to Home Screen,FALSE,gp:AOqpTOFypb9brqf-n36vM5hOnKeqYmquQj-l9pZqgo_xAbMiEOo2XuB42U0Dax4f-JH8J1KfY8PJFZ5leEdmKA,1307621,0.9163408875,FALSE,FALSE
9,org.mozilla.firefox,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",TRUE,To optimize web icon after adding this page to Home Screen,FALSE,gp:AOqpTOFypb9brqf-n36vM5hOnKeqYmquQj-l9pZqgo_xAbMiEOo2XuB42U0Dax4f-JH8J1KfY8PJFZ5leEdmKA,1307623,0.9163408875,FALSE,FALSE
10,org.mozilla.firefox,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,TRUE,No way to get back to website when tapping address bar,FALSE,gp:AOqpTOGcLzWTFPkRhKJ2c89xMqmQrj8yMt1YzUJzPUOHgLMMfVNaUvrV6DCKj3kSER6MT1jibHJmD4eeEpTzlQ,1172924,0.8507409096,TRUE,TRUE
11,org.mozilla.firefox,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,TRUE,There is no obvious way to delete an email from a dropdown list of a login page.GitHub exactly.I am using android OS,FALSE,gp:AOqpTOGcLzWTFPkRhKJ2c89xMqmQrj8yMt1YzUJzPUOHgLMMfVNaUvrV6DCKj3kSER6MT1jibHJmD4eeEpTzlQ,1435046,0.8390190601,TRUE,TRUE
12,org.mozilla.firefox,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,TRUE,Any saved tab won't open on my Android phone,FALSE,gp:AOqpTOGcLzWTFPkRhKJ2c89xMqmQrj8yMt1YzUJzPUOHgLMMfVNaUvrV6DCKj3kSER6MT1jibHJmD4eeEpTzlQ,1517161,0.837719202,TRUE,TRUE
13,org.mozilla.firefox,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",TRUE,"Security vulnerability that allows access to bookmarks, history and images on a rooted phone.",TRUE,gp:AOqpTOHIJrH92QH1JGRQJttEdnTPUclXjHreIu3BqFGwG2SqpVKWvZd_pV_Ed3FXRFoVF_CtP-tDdjST95n82w,989508,0.8921452165,FALSE,FALSE
14,org.mozilla.firefox,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",TRUE,Import 'Bookmarks and History' on devices without the AOSP Android browser,FALSE,gp:AOqpTOHIJrH92QH1JGRQJttEdnTPUclXjHreIu3BqFGwG2SqpVKWvZd_pV_Ed3FXRFoVF_CtP-tDdjST95n82w,833121,0.8919197321,FALSE,FALSE
15,org.mozilla.firefox,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",TRUE,Don't request write/read stock Android browser history and bookmarks,TRUE,gp:AOqpTOHIJrH92QH1JGRQJttEdnTPUclXjHreIu3BqFGwG2SqpVKWvZd_pV_Ed3FXRFoVF_CtP-tDdjST95n82w,751930,0.8852102757,FALSE,FALSE
16,org.mozilla.firefox,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,TRUE,"Only happening with latest version, But keep getting FFbeta draining battery too fast",TRUE,gp:AOqpTOG9ZiPHHBKIsB5szfBlbz6qm_os9w9fLYdqn0kYXjN5fXHESaqcViYm3gHI8AwhZJ-wIWMnIpqFZn05HA,1428028,0.8789666295,FALSE,FALSE
17,org.mozilla.firefox,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,TRUE,"The topbar on android phone becomes white, which makes the time and battery life invisible.",FALSE,gp:AOqpTOG9ZiPHHBKIsB5szfBlbz6qm_os9w9fLYdqn0kYXjN5fXHESaqcViYm3gHI8AwhZJ-wIWMnIpqFZn05HA,1419155,0.8560239673,FALSE,FALSE
18,org.mozilla.firefox,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,TRUE,"""Offline version"" snackbar is displayed when device is very low on power and in battery saving mode",FALSE,gp:AOqpTOG9ZiPHHBKIsB5szfBlbz6qm_os9w9fLYdqn0kYXjN5fXHESaqcViYm3gHI8AwhZJ-wIWMnIpqFZn05HA,1323279,0.8440989256,FALSE,FALSE
19,org.mozilla.firefox,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,TRUE,Installing a packaged app that causes an error at download time leaves a broken app icon/text on the about:apps page,FALSE,gp:AOqpTOE83jYKmxNbY7WTLzddtIxVS1cA_cDdzWo8Jy07uBzIvmlzLAXSDY6fbkG0jSmZnY3GICoLx9vE9x9eEQ,857930,0.8821309209,TRUE,FALSE
20,org.mozilla.firefox,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,TRUE,We need a lock screen widget that launches a guest browsing session of Firefox for Android without unlocking the phone,FALSE,gp:AOqpTOE83jYKmxNbY7WTLzddtIxVS1cA_cDdzWo8Jy07uBzIvmlzLAXSDY6fbkG0jSmZnY3GICoLx9vE9x9eEQ,1014842,0.8819599748,TRUE,FALSE
21,org.mozilla.firefox,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,TRUE,There is no obvious way to delete an email from a dropdown list of a login page.GitHub exactly.I am using android OS,FALSE,gp:AOqpTOE83jYKmxNbY7WTLzddtIxVS1cA_cDdzWo8Jy07uBzIvmlzLAXSDY6fbkG0jSmZnY3GICoLx9vE9x9eEQ,1435046,0.8762418628,TRUE,FALSE
22,org.mozilla.firefox,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",TRUE,Swiping away apps from the app switcher screen closes the main firefox proxess,FALSE,gp:AOqpTOGDlqnzFuLPpfYTo928n87P8Srzcxve4QoGmAjghNIzy8TGVaQdfYO7BufyscbZaBZO_YH96Fhbdd1HKA,804016,0.8772928715,TRUE,FALSE
23,org.mozilla.firefox,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",TRUE,"After Fennec update to a version with Synthetic APKs, the updated apps can not be launched from about:apps",FALSE,gp:AOqpTOGDlqnzFuLPpfYTo928n87P8Srzcxve4QoGmAjghNIzy8TGVaQdfYO7BufyscbZaBZO_YH96Fhbdd1HKA,997644,0.8770085573,TRUE,FALSE
24,org.mozilla.firefox,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",TRUE,"Vimeo ""open app"" button takes you to an about:neterror page, if you don't have vimeo app installed",FALSE,gp:AOqpTOGDlqnzFuLPpfYTo928n87P8Srzcxve4QoGmAjghNIzy8TGVaQdfYO7BufyscbZaBZO_YH96Fhbdd1HKA,1258605,0.873803556,TRUE,FALSE
25,org.mozilla.firefox,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,TRUE,Recent tabs always displays last available history entry instead of the entry that was actually open,TRUE,gp:AOqpTOGwNQ9l9H0UqcSW1TaBFPFwkkUtlsBLWQX7NyQNlRSHDVsbpaq2D6wQcZHb1BmUMb6KRR9nKkT40MQ1cA,1340875,0.9208638668,FALSE,FALSE
